province,name_of_institution,dli_number,city,campuses,offers_pgwp_programs,PGWP_Tag,extraction_date
Alberta,GD College,O281802098042,Calgary,Calgary,No,No,2023-04-26 22:29:09.112874
Alberta,Global Village Calgary,O278527539112,Calgary,Calgary,No,No,2023-04-26 22:29:09.112874
Alberta,Prairie Western College Inc.,O278565506082,Calgary,Calgary,No,No,2023-04-26 22:29:09.112874
Alberta,Peace River Bible Institute,O147371918072,Sexsmith,Sexsmith,No,No,2023-04-26 22:29:09.112874
Alberta,Visual College of Art and Design of Calgary,O269471149722,Calgary,Calgary,No,No,2023-04-26 22:29:09.112874
Alberta,CFI Flight Academy,O269322839472,Claresholm,Claresholm,Yes,Yes,2023-04-26 22:29:09.112874
Alberta,CFI Flight Academy,O269322839472,Okotoks,Okotoks,Yes,Yes,2023-04-26 22:29:09.112874
Alberta,Kanata Aviation Training Inc.,O269325462572,High River,High River,Yes,Yes,2023-04-26 22:29:09.112874
Alberta,Clearwater College,O268629217542,Caroline,Caroline,No,No,2023-04-26 22:29:09.112874
Alberta,Canadian Lutheran Bible Institute,O268324301272,Camrose,Camrose,No,No,2023-04-26 22:29:09.112874
Alberta,Brookes College,O267981215272,Calgary,Calgary,No,No,2023-04-26 22:29:09.112874
Alberta,Adventure Aviation,O140240413612,Grande Prairie,Grande Prairie,Yes,Yes,2023-04-26 22:29:09.112874
Alberta,ABM College of Business and Technology,O242632228347,Calgary,Calgary,No,No,2023-04-26 22:29:09.112874
Alberta,Academy of Learning Calgary,O19273743562,Calgary,"Calgary South, Calgary North East",No,No,2023-04-26 22:29:09.112874
Alberta,Academy of Learning Edmonton,O19273755422,Edmonton,"Edmonton Down Town, Edmonton West",No,No,2023-04-26 22:29:09.112874
Alberta,Academy of Learning Edmonton South,O19273765312,Edmonton,Edmonton South,No,No,2023-04-26 22:29:09.112874
Alberta,Academy of Learning Medicine Hat,O19273743562,Medicine Hat,Medicine Hat,No,No,2023-04-26 22:29:09.112874
Alberta,Academy of Learning Red Deer,O19273743562,Red Deer,Red Deer,No,No,2023-04-26 22:29:09.112874
Alberta,ACE Career College,O278284584102,Calgary,Calgary,No,No,2023-04-26 22:29:09.112874
Alberta,Aesthetics Pro,O261131738772,Calgary,Calgary,No,No,2023-04-26 22:29:09.112874
Alberta,AGA Academy,O267527550052,Calgary,Calgary,No,No,2023-04-26 22:29:09.112874
Alberta,Alberta Bible College,O122912253227,Calgary,Calgary,Yes (details),With Limitations,2023-04-26 22:29:09.112874
Alberta,Alberta Business and Health Institute,O145426260722,Red Deer,Red Deer,No,No,2023-04-26 22:29:09.112874
Alberta,Alberta College of Acupuncture and Traditional Chinese Medicine,O212235983277,Calgary,Calgary,No,No,2023-04-26 22:29:09.112874
Alberta,Alberta Educational Centre,O280086611042,Calgary,Calgary,No,No,2023-04-26 22:29:09.112874
Alberta,Alberta University of the Arts,O18760756062,Calgary,Calgary,Yes,Yes,2023-04-26 22:29:09.112874
Alberta,Alberta College of Massage Therapy,O133421346312,Edmonton,"Calgary, Edmonton, Edmonton – South, Fort McMurray, Grande Prairie, Lloydminster, Red Deer",No,No,2023-04-26 22:29:09.112874
Alberta,Alison College,O263079866852,Calgary,Calgary,No,No,2023-04-26 22:29:09.112874
Alberta,Ambrose University,O18713147522,Calgary,Calgary,Yes (details),With Limitations,2023-04-26 22:29:09.112874
Alberta,Anne’s Language House,O246864157347,Calgary,Calgary,No,No,2023-04-26 22:29:09.112874
Alberta,Athabasca University,O19092373272,Athabasca,Athabasca,Yes,Yes,2023-04-26 22:29:09.112874
Alberta,Athabasca University,O19092373272,Edmonton,Athabasca University – Edmonton,Yes,Yes,2023-04-26 22:29:09.112874
Alberta,Bay River College,O121321694207,Calgary,Calgary,No,No,2023-04-26 22:29:09.112874
Alberta,Beauty Maker Institute,O278324147112,Calgary,Calgary,No,No,2023-04-26 22:29:09.112874
Alberta,Bow Valley College,O19273769422,Calgary,Calgary,Yes,Yes,2023-04-26 22:29:09.112874
Alberta,Burman University,O19390898172,Lacombe,Lacombe,Yes,Yes,2023-04-26 22:29:09.112874
Alberta,Calgary College of Traditional Chinese Medicine and Acupuncture,O111917070547,Calgary,Calgary,No,No,2023-04-26 22:29:09.112874
Alberta,Calgary Flying Club,O116455095420,Calgary,Calgary,Yes (details for Flight schools),With Limitations,2023-04-26 22:29:09.112874
Alberta,Cambrooks College,O121510793907,Calgary,Calgary,No,No,2023-04-26 22:29:09.112874
Alberta,Campbell College,O254363717757,Edmonton,Edmonton,No,No,2023-04-26 22:29:09.112874
Alberta,Canadian Institute of Traditional Chinese Medicine Corp.,O19256722732,Calgary,Calgary,No,No,2023-04-26 22:29:09.112874
Alberta,Canadian Baptist Theological Seminary and College,O19256741082,Cochrane,Cochrane,Yes (details),With Limitations,2023-04-26 22:29:09.112874
Alberta,Canadian Imperial College,O142448481732,Edmonton,Edmonton,No,No,2023-04-26 22:29:09.112874
